"","time_interval","number_of_pickups","is_weekend","is_night","dayInWeek","dayInMonth","month","hour","minute","feels_like","is_raining_last_hour","number_of_crashes","taxis_pickup_count","total_arrests","is_holiday","is_persons_injured"
"1",2014-04-01 17:00:00,70,0,0,2,1,4,17,0,10.2,0,1,670,27,0,0
"2",2014-04-01 17:15:00,69,0,0,2,1,4,17,15,10.2,0,1,584,27,0,0
"3",2014-04-01 17:30:00,55,0,0,2,1,4,17,30,11.31,0,0,647,27,0,0
"4",2014-04-01 17:45:00,62,0,0,2,1,4,17,45,11.31,0,1,679,27,0,0
"5",2014-04-01 18:00:00,50,0,0,2,1,4,18,0,11.31,0,1,614,27,0,0
"6",2014-04-01 18:15:00,49,0,0,2,1,4,18,15,11.31,0,0,591,27,0,0
"7",2014-04-01 18:30:00,46,0,0,2,1,4,18,30,11.62,0,0,617,27,0,0
"8",2014-04-01 18:45:00,44,0,0,2,1,4,18,45,11.62,0,0,623,27,0,0
"9",2014-04-01 19:00:00,42,0,0,2,1,4,19,0,11.62,0,0,556,27,0,0
"10",2014-04-01 19:15:00,47,0,0,2,1,4,19,15,11.62,0,0,506,27,0,0
"11",2014-04-01 19:30:00,38,0,0,2,1,4,19,30,13.32,0,0,454,27,0,0
"12",2014-04-01 19:45:00,44,0,0,2,1,4,19,45,13.32,0,0,468,27,0,0
"13",2014-04-01 20:00:00,26,0,0,2,1,4,20,0,13.32,0,0,471,27,0,0
"14",2014-04-01 20:15:00,12,0,0,2,1,4,20,15,13.32,0,0,558,27,0,0
"15",2014-04-01 20:30:00,1,0,0,2,1,4,20,30,13.65,0,0,626,27,0,0
"16",2014-04-01 20:45:00,56,0,1,2,1,4,20,45,13.65,0,0,665,27,0,0
"17",2014-04-01 21:00:00,39,0,1,2,1,4,21,0,13.65,0,0,731,27,0,0
"18",2014-04-01 21:15:00,34,0,1,2,1,4,21,15,13.65,0,0,792,27,0,0
"19",2014-04-01 21:30:00,29,0,1,2,1,4,21,30,12.55,0,1,810,27,0,0
"20",2014-04-01 21:45:00,18,0,1,2,1,4,21,45,12.55,0,0,857,27,0,0
"21",2014-04-01 22:00:00,20,0,1,2,1,4,22,0,12.55,0,0,894,27,0,0
"22",2014-04-01 22:15:00,18,0,1,2,1,4,22,15,12.55,0,0,844,27,0,0
"23",2014-04-01 22:30:00,7,0,1,2,1,4,22,30,9.21,0,0,801,27,0,0
"24",2014-04-01 22:45:00,8,0,1,2,1,4,22,45,9.21,0,0,810,27,0,0
"25",2014-04-01 23:00:00,16,0,1,2,1,4,23,0,9.21,0,0,847,27,0,0
"26",2014-04-01 23:15:00,10,0,1,2,1,4,23,15,9.21,0,0,851,27,0,0
"27",2014-04-01 23:30:00,9,0,1,2,1,4,23,30,7.48,0,0,867,27,0,0
"28",2014-04-01 23:45:00,4,0,1,2,1,4,23,45,7.48,0,0,828,27,0,0
"29",2014-04-02 00:00:00,1,0,1,3,2,4,0,0,7.48,0,0,789,27,0,0
"30",2014-04-02 17:00:00,72,0,0,3,2,4,17,0,8.28,1,0,674,27,0,0
"31",2014-04-02 17:15:00,84,0,0,3,2,4,17,15,8.28,1,0,693,27,0,0
"32",2014-04-02 17:30:00,82,0,0,3,2,4,17,30,9.38,0,0,716,27,0,0
"33",2014-04-02 17:45:00,81,0,0,3,2,4,17,45,9.38,0,0,652,27,0,0
"34",2014-04-02 18:00:00,60,0,0,3,2,4,18,0,9.38,0,1,623,27,0,0
"35",2014-04-02 18:15:00,73,0,0,3,2,4,18,15,9.38,0,0,615,27,0,0
"36",2014-04-02 18:30:00,50,0,0,3,2,4,18,30,7.52,0,0,638,27,0,0
"37",2014-04-02 18:45:00,47,0,0,3,2,4,18,45,7.52,0,1,565,27,0,0
"38",2014-04-02 19:00:00,53,0,0,3,2,4,19,0,7.52,0,0,521,27,0,0
"39",2014-04-02 19:15:00,52,0,0,3,2,4,19,15,7.52,0,0,479,27,0,0
"40",2014-04-02 19:30:00,33,0,0,3,2,4,19,30,8.95,0,1,449,27,0,0
"41",2014-04-02 19:45:00,53,0,0,3,2,4,19,45,8.95,0,0,447,27,0,0
"42",2014-04-02 20:00:00,45,0,0,3,2,4,20,0,8.95,0,1,529,27,0,0
"43",2014-04-02 20:15:00,53,0,0,3,2,4,20,15,8.95,0,0,515,27,0,0
"44",2014-04-02 20:30:00,92,0,0,3,2,4,20,30,10.47,0,0,573,27,0,0
"45",2014-04-02 20:45:00,52,0,1,3,2,4,20,45,10.47,0,0,638,27,0,0
"46",2014-04-02 21:00:00,56,0,1,3,2,4,21,0,10.47,0,0,647,27,0,0
"47",2014-04-02 21:15:00,37,0,1,3,2,4,21,15,10.47,0,0,721,27,0,0
"48",2014-04-02 21:30:00,35,0,1,3,2,4,21,30,10.64,0,0,709,27,0,0
"49",2014-04-02 21:45:00,28,0,1,3,2,4,21,45,10.64,0,0,768,27,0,0
"50",2014-04-02 22:00:00,21,0,1,3,2,4,22,0,10.64,0,0,830,27,0,0
"51",2014-04-02 22:15:00,16,0,1,3,2,4,22,15,10.64,0,0,818,27,0,0
"52",2014-04-02 22:30:00,15,0,1,3,2,4,22,30,9.81,0,1,832,27,0,0
"53",2014-04-02 22:45:00,21,0,1,3,2,4,22,45,9.81,0,0,883,27,0,0
"54",2014-04-02 23:00:00,13,0,1,3,2,4,23,0,9.81,0,0,881,27,0,0
"55",2014-04-02 23:15:00,13,0,1,3,2,4,23,15,9.81,0,0,787,27,0,0
"56",2014-04-02 23:30:00,19,0,1,3,2,4,23,30,9.6,0,0,782,27,0,0
"57",2014-04-02 23:45:00,10,0,1,3,2,4,23,45,9.6,0,0,879,27,0,0
"58",2014-04-03 00:00:00,0,0,1,4,3,4,0,0,9.6,0,0,837,42,0,0
"59",2014-04-03 17:00:00,98,0,0,4,3,4,17,0,12.9,0,0,676,42,0,0
"60",2014-04-03 17:15:00,94,0,0,4,3,4,17,15,12.9,0,0,632,42,0,0
"61",2014-04-03 17:30:00,109,0,0,4,3,4,17,30,15.46,0,0,703,42,0,0
"62",2014-04-03 17:45:00,83,0,0,4,3,4,17,45,15.46,0,0,725,42,0,0
"63",2014-04-03 18:00:00,78,0,0,4,3,4,18,0,15.46,0,0,610,42,0,0
"64",2014-04-03 18:15:00,75,0,0,4,3,4,18,15,15.46,0,0,635,42,0,0
"65",2014-04-03 18:30:00,71,0,0,4,3,4,18,30,15.45,0,0,616,42,0,0
"66",2014-04-03 18:45:00,89,0,0,4,3,4,18,45,15.45,0,0,596,42,0,0
"67",2014-04-03 19:00:00,60,0,0,4,3,4,19,0,15.45,0,0,529,42,0,0
"68",2014-04-03 19:15:00,54,0,0,4,3,4,19,15,15.45,0,1,462,42,0,0
"69",2014-04-03 19:30:00,51,0,0,4,3,4,19,30,16.92,0,0,452,42,0,0
"70",2014-04-03 19:45:00,59,0,0,4,3,4,19,45,16.92,0,0,428,42,0,0
"71",2014-04-03 20:00:00,74,0,0,4,3,4,20,0,16.92,0,0,443,42,0,0
"72",2014-04-03 20:15:00,93,0,0,4,3,4,20,15,16.92,0,0,512,42,0,0
"73",2014-04-03 20:30:00,86,0,0,4,3,4,20,30,15.22,0,0,595,42,0,0
"74",2014-04-03 20:45:00,65,0,1,4,3,4,20,45,15.22,0,0,632,42,0,0
"75",2014-04-03 21:00:00,64,0,1,4,3,4,21,0,15.22,0,0,697,42,0,0
"76",2014-04-03 21:15:00,66,0,1,4,3,4,21,15,15.22,0,0,682,42,0,0
"77",2014-04-03 21:30:00,52,0,1,4,3,4,21,30,14.45,0,0,743,42,0,0
"78",2014-04-03 21:45:00,74,0,1,4,3,4,21,45,14.45,0,0,775,42,0,0
"79",2014-04-03 22:00:00,65,0,1,4,3,4,22,0,14.45,0,1,806,42,0,0
"80",2014-04-03 22:15:00,70,0,1,4,3,4,22,15,14.45,0,0,779,42,0,0
"81",2014-04-03 22:30:00,65,0,1,4,3,4,22,30,12.61,0,0,780,42,0,0
"82",2014-04-03 22:45:00,47,0,1,4,3,4,22,45,12.61,0,0,877,42,0,0
"83",2014-04-03 23:00:00,25,0,1,4,3,4,23,0,12.61,0,0,884,42,0,0
"84",2014-04-03 23:15:00,11,0,1,4,3,4,23,15,12.61,0,0,864,42,0,0
"85",2014-04-03 23:30:00,21,0,1,4,3,4,23,30,10.99,0,0,859,42,0,0
"86",2014-04-03 23:45:00,17,0,1,4,3,4,23,45,10.99,0,0,805,42,0,0
"87",2014-04-04 00:00:00,0,0,1,5,4,4,0,0,10.99,0,0,796,38,0,0
"88",2014-04-04 17:00:00,101,0,0,5,4,4,17,0,1.83,0,1,700,38,0,0
"89",2014-04-04 17:15:00,112,0,0,5,4,4,17,15,1.83,0,0,727,38,0,0
"90",2014-04-04 17:30:00,97,0,0,5,4,4,17,30,1.44,1,0,711,38,0,0
"91",2014-04-04 17:45:00,97,0,0,5,4,4,17,45,1.44,1,0,702,38,0,0
"92",2014-04-04 18:00:00,97,0,0,5,4,4,18,0,1.44,1,0,667,38,0,0
"93",2014-04-04 18:15:00,115,0,0,5,4,4,18,15,1.44,1,0,574,38,0,0
"94",2014-04-04 18:30:00,95,0,0,5,4,4,18,30,1.41,1,0,530,38,0,0
"95",2014-04-04 18:45:00,126,0,0,5,4,4,18,45,1.41,1,0,527,38,0,0
"96",2014-04-04 19:00:00,105,0,0,5,4,4,19,0,1.41,1,0,452,38,0,0
"97",2014-04-04 19:15:00,80,0,0,5,4,4,19,15,1.41,1,0,480,38,0,0
"98",2014-04-04 19:30:00,87,0,0,5,4,4,19,30,1.56,1,0,414,38,0,0
"99",2014-04-04 19:45:00,54,0,0,5,4,4,19,45,1.56,1,1,390,38,0,0
"100",2014-04-04 20:00:00,58,0,0,5,4,4,20,0,1.56,1,0,418,38,0,0
"101",2014-04-04 20:15:00,63,0,0,5,4,4,20,15,1.56,1,0,487,38,0,0
"102",2014-04-04 20:30:00,40,0,0,5,4,4,20,30,1.63,0,0,549,38,0,0
"103",2014-04-04 20:45:00,39,0,1,5,4,4,20,45,1.63,0,0,558,38,0,0
"104",2014-04-04 21:00:00,109,0,1,5,4,4,21,0,1.63,0,0,686,38,0,0
"105",2014-04-04 21:15:00,71,0,1,5,4,4,21,15,1.63,0,0,683,38,0,0
"106",2014-04-04 21:30:00,78,0,1,5,4,4,21,30,0.53,1,0,741,38,0,0
"107",2014-04-04 21:45:00,40,0,1,5,4,4,21,45,0.53,1,0,769,38,0,0
"108",2014-04-04 22:00:00,48,0,1,5,4,4,22,0,0.53,1,1,788,38,0,1
"109",2014-04-04 22:15:00,32,0,1,5,4,4,22,15,0.53,1,0,802,38,0,0
"110",2014-04-04 22:30:00,36,0,1,5,4,4,22,30,1.15,1,0,826,38,0,0
"111",2014-04-04 22:45:00,40,0,1,5,4,4,22,45,1.15,1,0,808,38,0,0
"112",2014-04-04 23:00:00,33,0,1,5,4,4,23,0,1.15,1,0,846,38,0,0
"113",2014-04-04 23:15:00,33,0,1,5,4,4,23,15,1.15,1,1,884,38,0,1
"114",2014-04-04 23:30:00,22,0,1,5,4,4,23,30,0.59,1,0,833,38,0,0
"115",2014-04-04 23:45:00,24,0,1,5,4,4,23,45,0.59,1,0,817,38,0,0
"116",2014-04-05 00:00:00,0,1,1,6,5,4,0,0,0.59,1,0,799,43,0,0
"117",2014-04-05 17:00:00,51,1,0,6,5,4,17,0,8.74,0,0,654,43,0,0
"118",2014-04-05 17:15:00,35,1,0,6,5,4,17,15,8.74,0,1,599,43,0,1
"119",2014-04-05 17:30:00,35,1,0,6,5,4,17,30,9.25,0,0,609,43,0,0
"120",2014-04-05 17:45:00,32,1,0,6,5,4,17,45,9.25,0,1,555,43,0,0
"121",2014-04-05 18:00:00,28,1,0,6,5,4,18,0,9.25,0,0,556,43,0,0
"122",2014-04-05 18:15:00,43,1,0,6,5,4,18,15,9.25,0,0,509,43,0,0
"123",2014-04-05 18:30:00,36,1,0,6,5,4,18,30,9.91,0,0,539,43,0,0
"124",2014-04-05 18:45:00,40,1,0,6,5,4,18,45,9.91,0,0,563,43,0,0
"125",2014-04-05 19:00:00,28,1,0,6,5,4,19,0,9.91,0,0,505,43,0,0
"126",2014-04-05 19:15:00,39,1,0,6,5,4,19,15,9.91,0,0,415,43,0,0
"127",2014-04-05 19:30:00,39,1,0,6,5,4,19,30,10.15,0,0,407,43,0,0
"128",2014-04-05 19:45:00,26,1,0,6,5,4,19,45,10.15,0,0,381,43,0,0
"129",2014-04-05 20:00:00,33,1,0,6,5,4,20,0,10.15,0,2,402,43,0,0
