"","time_interval","number_of_pickups","is_weekend","is_night","dayInWeek","dayInMonth","month","year","hour","minute","temp","humidity","wind_speed","feels_like","clouds_all","is_raining_last_hour","is_snowing_last_hour","number_of_persons_injured","number_of_persons_killed","number_of_crashes","event_count","taxis_pickup_count","total_arrests","memorial_day","independence_day","labor_day"
"1",2014-04-01 17:00:00,70,0,0,2,1,4,2014,17,0,11.98,37,2.6,10.2,0,0,0,0,0,1,35,670,27,0,0,0
"2",2014-04-01 17:15:00,69,0,0,2,1,4,2014,17,15,11.98,37,2.6,10.2,0,0,0,0,0,1,33,584,27,0,0,0
"3",2014-04-01 17:30:00,55,0,0,2,1,4,2014,17,30,13.01,36,2.6,11.31,0,0,0,0,0,0,33,647,27,0,0,0
"4",2014-04-01 17:45:00,62,0,0,2,1,4,2014,17,45,13.01,36,2.6,11.31,0,0,0,0,0,1,33,679,27,0,0,0
"5",2014-04-01 18:00:00,50,0,0,2,1,4,2014,18,0,13.01,36,2.6,11.31,0,0,0,0,0,1,37,614,27,0,0,0
"6",2014-04-01 18:15:00,49,0,0,2,1,4,2014,18,15,13.01,36,2.6,11.31,0,0,0,0,0,0,26,591,27,0,0,0
"7",2014-04-01 18:30:00,46,0,0,2,1,4,2014,18,30,13.32,35,2.1,11.62,0,0,0,0,0,0,26,617,27,0,0,0
"8",2014-04-01 18:45:00,44,0,0,2,1,4,2014,18,45,13.32,35,2.1,11.62,0,0,0,0,0,0,26,623,27,0,0,0
"9",2014-04-01 19:00:00,42,0,0,2,1,4,2014,19,0,13.32,35,2.1,11.62,0,0,0,0,0,0,29,556,27,0,0,0
"10",2014-04-01 19:15:00,47,0,0,2,1,4,2014,19,15,13.32,35,2.1,11.62,0,0,0,0,0,0,28,506,27,0,0,0
"11",2014-04-01 19:30:00,38,0,0,2,1,4,2014,19,30,14.89,34,3.1,13.32,0,0,0,0,0,0,28,454,27,0,0,0
"12",2014-04-01 19:45:00,44,0,0,2,1,4,2014,19,45,14.89,34,3.1,13.32,0,0,0,0,0,0,28,468,27,0,0,0
"13",2014-04-01 20:00:00,26,0,0,2,1,4,2014,20,0,14.89,34,3.1,13.32,0,0,0,0,0,0,30,471,27,0,0,0
"14",2014-04-01 20:15:00,12,0,0,2,1,4,2014,20,15,14.89,34,3.1,13.32,0,0,0,0,0,0,24,558,27,0,0,0
"15",2014-04-01 20:30:00,1,0,0,2,1,4,2014,20,30,15.19,34,0.51,13.65,0,0,0,0,0,0,24,626,27,0,0,0
"16",2014-04-01 20:45:00,56,0,1,2,1,4,2014,20,45,15.19,34,0.51,13.65,0,0,0,0,0,0,24,665,27,0,0,0
"17",2014-04-01 21:00:00,39,0,1,2,1,4,2014,21,0,15.19,34,0.51,13.65,0,0,0,0,0,0,24,731,27,0,0,0
"18",2014-04-01 21:15:00,34,0,1,2,1,4,2014,21,15,15.19,34,0.51,13.65,0,0,0,0,0,0,21,792,27,0,0,0
"19",2014-04-01 21:30:00,29,0,1,2,1,4,2014,21,30,14.07,39,6.2,12.55,20,0,0,0,0,1,21,810,27,0,0,0
"20",2014-04-01 21:45:00,18,0,1,2,1,4,2014,21,45,14.07,39,6.2,12.55,20,0,0,0,0,0,21,857,27,0,0,0
"21",2014-04-01 22:00:00,20,0,1,2,1,4,2014,22,0,14.07,39,6.2,12.55,20,0,0,0,0,0,21,894,27,0,0,0
"22",2014-04-01 22:15:00,18,0,1,2,1,4,2014,22,15,14.07,39,6.2,12.55,20,0,0,0,0,0,20,844,27,0,0,0
"23",2014-04-01 22:30:00,7,0,1,2,1,4,2014,22,30,10.87,46,6.2,9.21,0,0,0,0,0,0,20,801,27,0,0,0
"24",2014-04-01 22:45:00,8,0,1,2,1,4,2014,22,45,10.87,46,6.2,9.21,0,0,0,0,0,0,20,810,27,0,0,0
"25",2014-04-01 23:00:00,16,0,1,2,1,4,2014,23,0,10.87,46,6.2,9.21,0,0,0,0,0,0,20,847,27,0,0,0
"26",2014-04-01 23:15:00,10,0,1,2,1,4,2014,23,15,10.87,46,6.2,9.21,0,0,0,0,0,0,13,851,27,0,0,0
"27",2014-04-01 23:30:00,9,0,1,2,1,4,2014,23,30,9.8,47,4.63,7.48,20,0,0,0,0,0,13,867,27,0,0,0
"28",2014-04-01 23:45:00,4,0,1,2,1,4,2014,23,45,9.8,47,4.63,7.48,20,0,0,0,0,0,13,828,27,0,0,0
"29",2014-04-02 00:00:00,1,0,1,3,2,4,2014,0,0,9.8,47,4.63,7.48,20,0,0,0,0,0,15,789,27,0,0,0
"30",2014-04-02 17:00:00,72,0,0,3,2,4,2014,17,0,8.84,71,1.54,8.28,100,1,0,0,0,0,34,674,27,0,0,0
"31",2014-04-02 17:15:00,84,0,0,3,2,4,2014,17,15,8.84,71,1.54,8.28,100,1,0,0,0,0,33,693,27,0,0,0
"32",2014-04-02 17:30:00,82,0,0,3,2,4,2014,17,30,10.59,64,3.1,9.38,100,0,0,0,0,0,33,716,27,0,0,0
"33",2014-04-02 17:45:00,81,0,0,3,2,4,2014,17,45,10.59,64,3.1,9.38,100,0,0,0,0,0,33,652,27,0,0,0
"34",2014-04-02 18:00:00,60,0,0,3,2,4,2014,18,0,10.59,64,3.1,9.38,100,0,0,0,0,1,33,623,27,0,0,0
"35",2014-04-02 18:15:00,73,0,0,3,2,4,2014,18,15,10.59,64,3.1,9.38,100,0,0,0,0,0,24,615,27,0,0,0
"36",2014-04-02 18:30:00,50,0,0,3,2,4,2014,18,30,9.65,74,4.12,7.52,100,0,0,0,0,0,24,638,27,0,0,0
"37",2014-04-02 18:45:00,47,0,0,3,2,4,2014,18,45,9.65,74,4.12,7.52,100,0,0,0,0,1,24,565,27,0,0,0
"38",2014-04-02 19:00:00,53,0,0,3,2,4,2014,19,0,9.65,74,4.12,7.52,100,0,0,0,0,0,25,521,27,0,0,0
"39",2014-04-02 19:15:00,52,0,0,3,2,4,2014,19,15,9.65,74,4.12,7.52,100,0,0,0,0,0,24,479,27,0,0,0
"40",2014-04-02 19:30:00,33,0,0,3,2,4,2014,19,30,10.06,70,3.6,8.95,40,0,0,0,0,1,24,449,27,0,0,0
"41",2014-04-02 19:45:00,53,0,0,3,2,4,2014,19,45,10.06,70,3.6,8.95,40,0,0,0,0,0,24,447,27,0,0,0
"42",2014-04-02 20:00:00,45,0,0,3,2,4,2014,20,0,10.06,70,3.6,8.95,40,0,0,0,0,1,25,529,27,0,0,0
"43",2014-04-02 20:15:00,53,0,0,3,2,4,2014,20,15,10.06,70,3.6,8.95,40,0,0,0,0,0,20,515,27,0,0,0
"44",2014-04-02 20:30:00,92,0,0,3,2,4,2014,20,30,11.56,65,3.6,10.47,0,0,0,0,0,0,20,573,27,0,0,0
"45",2014-04-02 20:45:00,52,0,1,3,2,4,2014,20,45,11.56,65,3.6,10.47,0,0,0,0,0,0,20,638,27,0,0,0
"46",2014-04-02 21:00:00,56,0,1,3,2,4,2014,21,0,11.56,65,3.6,10.47,0,0,0,0,0,0,20,647,27,0,0,0
"47",2014-04-02 21:15:00,37,0,1,3,2,4,2014,21,15,11.56,65,3.6,10.47,0,0,0,0,0,0,20,721,27,0,0,0
"48",2014-04-02 21:30:00,35,0,1,3,2,4,2014,21,30,11.83,60,2.6,10.64,0,0,0,0,0,0,20,709,27,0,0,0
"49",2014-04-02 21:45:00,28,0,1,3,2,4,2014,21,45,11.83,60,2.6,10.64,0,0,0,0,0,0,20,768,27,0,0,0
"50",2014-04-02 22:00:00,21,0,1,3,2,4,2014,22,0,11.83,60,2.6,10.64,0,0,0,0,0,0,20,830,27,0,0,0
"51",2014-04-02 22:15:00,16,0,1,3,2,4,2014,22,15,11.83,60,2.6,10.64,0,0,0,0,0,0,19,818,27,0,0,0
"52",2014-04-02 22:30:00,15,0,1,3,2,4,2014,22,30,11.1,59,2.6,9.81,0,0,0,0,0,1,19,832,27,0,0,0
"53",2014-04-02 22:45:00,21,0,1,3,2,4,2014,22,45,11.1,59,2.6,9.81,0,0,0,0,0,0,19,883,27,0,0,0
"54",2014-04-02 23:00:00,13,0,1,3,2,4,2014,23,0,11.1,59,2.6,9.81,0,0,0,0,0,0,19,881,27,0,0,0
"55",2014-04-02 23:15:00,13,0,1,3,2,4,2014,23,15,11.1,59,2.6,9.81,0,0,0,0,0,0,17,787,27,0,0,0
"56",2014-04-02 23:30:00,19,0,1,3,2,4,2014,23,30,10.82,63,2.6,9.6,0,0,0,0,0,0,17,782,27,0,0,0
